id_venda,id_vendedor,id_produto,produto,categoria,data_venda,quantidade,valor_total,cidade,idEstado
2000,5,24,"Monitor Ultrawide 34"" IPS",Monitor,2024-10-24,17,44199.83,Florianopolis,24
2001,3,40,Organizador de Cabos de Silicone (5un),Acessorio,2025-06-11,21,627.9,Maceio,2
2002,2,30,Caixa de Som Bluetooth Portatil,Audio,2025-05-22,6,900.0,Porto Alegre,21
2003,5,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-04-23,37,2793.5,Rio de Janeiro,19
2004,3,22,Mouse Gamer Sem Fio Recarregavel,Mouse,2025-06-17,20,4980.0,Joao Pessoa,15
2005,6,24,"Monitor Ultrawide 34"" IPS",Monitor,2025-11-24,1,2599.99,Maceio,2
2006,4,10,Hub USB-C 7-em-1,Adaptador,2025-06-08,38,4936.2,Rio de Janeiro,19
2007,3,26,Placa de Captura Externa 4K,Video,2024-12-13,39,30420.0,Sao Luis,10
2008,5,14,SSD Externo Portatil 500GB,Armazenamento,2025-03-14,38,18582.0,Aracaju,26
2009,5,5,Mousepad Grande Speed,Acessorio,2024-10-07,7,321.3,Belo Horizonte,13
2010,4,33,Stylus Pen Ativa para Tablets/PC,Input Device,2025-10-12,17,4590.0,Manaus,4
2011,2,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-07-22,33,2491.5,Belo Horizonte,13
2012,5,34,Dock Station para Notebook,Adaptador,2025-10-26,9,3780.0,Boa Vista,23
2013,3,35,Teclado Numerico USB,Teclado,2024-12-19,14,698.6,Belem,14
2014,1,35,Teclado Numerico USB,Teclado,2025-08-20,9,449.1,Sao Luis,10
2015,6,27,Webcam 4K Ultra HD,Camera,2025-08-20,29,11571.0,Brasilia,7
2016,3,15,Impressora Multifuncional Tanque de Tinta,Impressora,2025-08-23,17,16983.0,Manaus,4
2017,2,16,Fone de Ouvido Bluetooth Cancelamento Ruido,Audio,2025-02-22,10,5500.0,Teresina,18
2018,1,28,Teclado de Membrana Silencioso,Teclado,2025-08-24,23,1837.7,Campo Grande,12
2019,6,15,Impressora Multifuncional Tanque de Tinta,Impressora,2025-06-10,21,20979.0,Rio de Janeiro,19
2020,2,1,Mouse Gamer Optico RGB,Mouse,2025-06-25,12,1798.8,Maceio,2
2021,3,13,Pen Drive USB 3.0 128GB,Armazenamento,2025-10-28,20,1510.0,Rio Branco,1
2022,2,25,Mousepad RGB Extendido,Acessorio,2025-11-29,25,2225.0,Belo Horizonte,13
2023,1,5,Mousepad Grande Speed,Acessorio,2025-02-16,7,321.3,Fortaleza,6
2024,5,39,No-break 600VA Bivolt,Energia,2025-04-25,10,3200.0,Campo Grande,12
2025,1,14,SSD Externo Portatil 500GB,Armazenamento,2025-10-27,20,9780.0,Sao Luis,10
2026,6,30,Caixa de Som Bluetooth Portatil,Audio,2024-10-01,32,4800.0,Rio Branco,1
2027,5,14,SSD Externo Portatil 500GB,Armazenamento,2025-04-14,9,4401.0,Belo Horizonte,13
2028,3,14,SSD Externo Portatil 500GB,Armazenamento,2024-11-13,30,14670.0,Porto Velho,22
2029,4,2,Teclado Mecanico TKL Switch Azul,Teclado,2025-04-26,37,14429.63,Aracaju,26
2030,4,14,SSD Externo Portatil 500GB,Armazenamento,2025-09-26,32,15648.0,Joao Pessoa,15
2031,6,27,Webcam 4K Ultra HD,Camera,2025-10-23,33,13167.0,Rio Branco,1
2032,4,38,Projetor Portatil Mini LED,Video,2024-10-21,1,1150.0,Belo Horizonte,13
2033,5,21,Teclado Mecanico Compacto 60%,Teclado,2024-10-23,2,639.8,Brasilia,7
2034,5,22,Mouse Gamer Sem Fio Recarregavel,Mouse,2025-06-10,21,5229.0,Aracaju,26
